firstname,surname,bornCountry,bornCountryCode,gender,year,category,motivation
Carl,Bosch,Germany,DEU,male,1931,chemistry,"""in recognition of their contributions to the invention and development of chemical high pressure methods"""
Carl,Bosch,Germany,DEU,male,1931,chemistry,"""in recognition of their contributions to the invention and development of chemical high pressure methods"""
Gerhart Johann Robert,Hauptmann,Prussia (now Germany),DEU,male,1912,literature,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art"""
Thomas,Mann,Germany,DEU,male,1929,literature,"""principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature"""
Christian Matthias Theodor,Mommsen,Schleswig (now Germany),DEU,male,1902,literature,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>"""
Willy,Brandt,Germany,DEU,male,1971,peace,
Henry A.,Kissinger,Germany,DEU,male,1973,peace,
Ludwig,Quidde,Germany,DEU,male,1927,peace,
Gustav,Stresemann,Germany,DEU,male,1926,peace,
Carl,von Ossietzky,Germany,DEU,male,1935,peace,
Sigrid,Undset,Denmark,DNK,female,1928,literature,"""principally for her powerful descriptions of Northern life during the Middle Ages"""
Henrik,Pontoppidan,Denmark,DNK,male,1917,literature,"""for his authentic descriptions of present-day life in Denmark"""
Schack August Steenberg,Krogh,Denmark,DNK,male,1920,medicine,"""for his discovery of the capillary motor regulating mechanism"""
Johannes Andreas Grib,Fibiger,Denmark,DNK,male,1926,medicine,"""for his discovery of the Spiroptera carcinoma"""
Henrik Carl Peter,Dam,Denmark,DNK,male,1943,medicine,"""for his discovery of vitamin K"""
Niels Henrik David,Bohr,Denmark,DNK,male,1922,physics,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them"""
Karl Adolph,Gjellerup,Denmark,DNK,male,1917,literature,"""for his varied and rich poetry, which is inspired by lofty ideals"""
Aage Niels,Bohr,Denmark,DNK,male,1975,physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"""
Jens C.,Skou,Denmark,DNK,male,1997,chemistry,"""for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase"""
Johannes Vilhelm,Jensen,Denmark,DNK,male,1944,literature,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style"""
Niels Ryberg,Finsen,Faroe Islands (Denmark),DNK,male,1903,medicine,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science"""
Fredrik,Bajer,Denmark,DNK,male,1908,peace,
Claude,Cohen-Tannoudji,French Algeria (now Algeria),DZA,male,1997,physics,"""for development of methods to cool and trap atoms with laser light"""
Claude,Cohen-Tannoudji,French Algeria (now Algeria),DZA,male,1997,physics,"""for development of methods to cool and trap atoms with laser light"""
Albert,Camus,French Algeria (now Algeria),DZA,male,1957,literature,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times"""
Dorothy Crowfoot,Hodgkin,Egypt,EGY,female,1964,chemistry,"""for her determinations by X-ray techniques of the structures of important biochemical substances"""
Ahmed H.,Zewail,Egypt,EGY,male,1999,chemistry,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy"""
Yasser,Arafat,Egypt,EGY,male,1994,peace,"""for their efforts to create peace in the Middle East"""
Mohamed,ElBaradei,Egypt,EGY,male,2005,peace,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way"""
Naguib,Mahfouz,Egypt,EGY,male,1988,literature,"""who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind"""
Mohamed Anwar,al-Sadat,Egypt,EGY,male,1978,peace,
Vicente,Aleixandre,Spain,ESP,male,1977,literature,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars"""
