firstname,surname,bornCountryCode,gender,year,category,share,motivation
Hans Adolf,Krebs,DE,male,1953,medicine,2,"""for his discovery of the citric acid cycle"""
Ralph M.,Steinman,CA,male,2011,medicine,2,"""for his discovery of the dendritic cell and its role in adaptive immunity"""
Max,von Laue,DE,male,1914,physics,1,"""for his discovery of the diffraction of X-rays by crystals"""
Johannes,Stark,DE,male,1919,physics,1,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields"""
Arthur Holly,Compton,US,male,1927,physics,2,"""for his discovery of the effect named after him"""
Otto,Hahn,DE,male,1944,chemistry,1,"""for his discovery of the fission of heavy nuclei"""
Otto Fritz,Meyerhof,DE,male,1922,medicine,2,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle"""
Walter Rudolf,Hess,CH,male,1949,medicine,2,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs"""
Susumu,Tonegawa,JP,male,1987,medicine,1,"""for his discovery of the genetic principle for generation of antibody diversity"""
Sir Frederick Gowland,Hopkins,GB,male,1929,medicine,2,"""for his discovery of the growth-stimulating vitamins"""
Paul Hermann,Môller,CH,male,1948,medicine,1,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods"""
Willem,Einthoven,ID,male,1924,medicine,1,"""for his discovery of the mechanism of the electrocardiogram"""
Otto Heinrich,Warburg,DE,male,1931,medicine,1,"""for his discovery of the nature and mode of action of the respiratory enzyme"""
Hans,Spemann,DE,male,1935,medicine,1,"""for his discovery of the organizer effect in embryonic development"""
Bernardo Alberto,Houssay,AR,male,1947,medicine,2,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar"""
Carl David,Anderson,US,male,1936,physics,2,"""for his discovery of the positron"""
Johannes Andreas Grib,Fibiger,DK,male,1926,medicine,1,"""for his discovery of the Spiroptera carcinoma"""
Antonio Caetano de Abreu Freire Egas,Moniz,PT,male,1949,medicine,2,"""for his discovery of the therapeutic value of leucotomy in certain psychoses"""
Antonio Caetano de Abreu Freire Egas,Moniz,PT,male,1949,medicine,2,"""for his discovery of the therapeutic value of leucotomy in certain psychoses"""
Julius,Wagner-Jauregg,AT,male,1927,medicine,1,"""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica"""
Prince Louis-Victor Pierre Raymond,de Broglie,FR,male,1929,physics,1,"""for his discovery of the wave nature of electrons"""
Peyton,Rous,US,male,1966,medicine,2,"""for his discovery of tumour-inducing viruses"""
Henrik Carl Peter,Dam,DK,male,1943,medicine,2,"""for his discovery of vitamin K"""
Archibald Vivian,Hill,GB,male,1922,medicine,2,"""for his discovery relating to the production of heat in the muscle"""
James Batcheller,Sumner,US,male,1946,chemistry,2,"""for his discovery that enzymes can be crystallized"""
Francis William,Aston,GB,male,1922,chemistry,1,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule"""
Eugenio,Montale,IT,male,1975,literature,1,"""for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions"""
John,Galsworthy,GB,male,1932,literature,1,"""for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>"""
Giorgos,Seferis,TR,male,1963,literature,1,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture"""
Simon,Kuznets,BY,male,1971,economics,1,"""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development"""
Barack H.,Obama,US,male,2009,peace,1,"""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples"""
Paul J.,Flory,US,male,1974,chemistry,1,"""for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules"""
Michael,Smith,GB,male,1993,chemistry,2,"""for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies"""
Max,Born,PL,male,1954,physics,2,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction"""
Paul,Berg,US,male,1980,chemistry,2,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA"""
Robert S.,Mulliken,US,male,1966,chemistry,1,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method"""
Ernst,Ruska,DE,male,1986,physics,2,"""for his fundamental work in electron optics, and for the design of the first electron microscope"""
Wladyslaw Stanislaw,Reymont,PL,male,1924,literature,1,"""for his great national epic, <I>The Peasants</I>"""
Isaac Bashevis,Singer,PL,male,1978,literature,1,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life"""
Boris Leonidovich,Pasternak,RU,male,1958,literature,1,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition"""
Martti,Ahtisaari,RU,male,2008,peace,1,"""for his important efforts, on several continents and over more than three decades, to resolve international conflicts"""
Albert,Camus,DZ,male,1957,literature,1,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times"""
